colors,freqs,hexnames
whitesmoke,243,#F5F5F5
darkslategray,191,#2F4F4F
darkslateblue,168,#483D8B
silver,159,#C0C0C0
lavender,106,#E6E6FA
black,83,#000000
darkgray,83,#A9A9A9
gainsboro,81,#DCDCDC
snow,79,#FFFAFA
linen,73,#FAF0E6
steelblue,71,#4682B4
lightsteelblue,67,#B0C4DE
dimgray,66,#696969
goldenrod,60,#DAA520
darkolivegreen,59,#556B2F
midnightblue,54,#191970
gray,52,#808080
ghostwhite,48,#F8F8FF
tan,45,#D2B48C
crimson,44,#DC143C
rosybrown,42,#BC8F8F
cornflowerblue,39,#6495ED
dodgerblue,35,#1E90FF
slategray,35,#708090
yellowgreen,33,#9ACD32
teal,32,#008080
cadetblue,29,#5F9EA0
blanchedalmond,26,#FFEBCD
antiquewhite,25,#FAEBD7
darkkhaki,23,#BDB76B
lightslategray,22,#778899
lightgray,22,#D3D3D3
brown,20,#A52A2A
deeppink,20,#FF1493
skyblue,19,#87CEEB
lightseagreen,19,#20B2AA
olivedrab,18,#6B8E23
mediumturquoise,18,#48D1CC
thistle,18,#D8BFD8
firebrick,17,#B22222
bisque,17,#FFE4C4
mintcream,15,#F5FFFA
indianred,15,#CD5C5C
lightblue,15,#ADD8E6
sandybrown,15,#F4A460
aliceblue,15,#F0F8FF
royalblue,15,#4169E1
saddlebrown,15,#8B4513
sienna,15,#A0522D
darkseagreen,14,#8FBC8F
papayawhip,13,#FFEFD5
burlywood,12,#DEB887
mediumvioletred,12,#C71585
tomato,11,#FF6347
chocolate,11,#D2691E
peru,10,#CD853F
darkorange,9,#FF8C00
gold,9,#FFD700
khaki,9,#F0E68C
mediumaquamarine,9,#66CDAA
purple,8,#800080
maroon,7,#800000
seagreen,7,#2E8B57
moccasin,7,#FFE4B5
slateblue,6,#6A5ACD
indigo,6,#4B0082
mistyrose,6,#FFE4E1
wheat,5,#F5DEB3
hotpink,5,#FF69B4
beige,5,#F5F5DC
mediumpurple,5,#9370DB
seashell,5,#FFF5EE
lightskyblue,5,#87CEFA
forestgreen,4,#228B22
lightpink,4,#FFB6C1
paleturquoise,4,#AFEEEE
yellow,4,#FFFF00
salmon,4,#FA8072
palevioletred,4,#DB7093
mediumorchid,4,#BA55D3
greenyellow,4,#ADFF2F
darkturquoise,4,#00CED1
darkcyan,4,#008B8B
orchid,3,#DA70D6
powderblue,3,#B0E0E6
white,3,#FFFFFF
mediumblue,3,#0000CD
mediumseagreen,3,#3CB371
palegoldenrod,3,#EEE8AA
darkorchid,3,#9932CC
lightcyan,3,#E0FFFF
floralwhite,3,#FFFAF0
lightsalmon,2,#FFA07A
orange,2,#FFA500
darkgreen,2,#006400
aquamarine,2,#7FFFD4
deepskyblue,2,#00BFFF
turquoise,2,#40E0D0
limegreen,2,#32CD32
lightgreen,2,#90EE90
peachpuff,2,#FFDAB9
navajowhite,2,#FFDEAD
coral,2,#FF7F50
blueviolet,2,#8A2BE2
darkgoldenrod,1,#B8860B
lightcoral,1,#F08080
darkviolet,1,#9400D3
darkmagenta,1,#8B008B
lightgoldenrodyellow,1,#FAFAD2
lavenderblush,1,#FFF0F5
orangered,1,#FF4500
