Column1,Column2,Column3,Column4,Column5,Column6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,
https://media-exp1.licdn.com/dms/image/C4D22AQGMAJIByiZ3KQ/feedshare-shrink_800/0/1615888762972?e=1646870400&v=beta&t=y42w13n45IJxAX32liIv3S5OduWecchVQdBJMbogF2U,1,['anger: VERY_UNLIKELY', 'joy: VERY_LIKELY', 'surprise: VERY_UNLIKELY', 'Sorrow: VERY_UNLIKELY'], ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
https://media-exp1.licdn.com/dms/image/C5605AQE74yDlMjqqQw/videocover-low/0/1640077260108?e=1644163200&v=beta&t=232PvQV5Z4pf-dxC88tK9lSW2GfQ5SM0399Go0HfBQc,,Not Accessible,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
https://media-exp1.licdn.com/dms/image/sync/C4D22AQEbmaWS1pMs-g/feedshare-shrink_800/0/1621450462208?e=1646870400&v=beta&t=f82bq1GIoMHz6fYBWsE46pn8Em_pEM1SYSnshjWyz4I,0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
https://media-exp1.licdn.com/dms/image/C4D05AQFSFWx6Qb8n6g/videocover-low/0/1616183643520?e=1644159600&v=beta&t=p-4CFTE_eR-Xx1YbAsvGCSaO2RIBHAPcs6lCVXyTR2o,,Not Accessible,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
https://media-exp1.licdn.com/dms/image/C4D22AQGOAHkn-leCuw/feedshare-shrink_800/0/1620828377694?e=1646870400&v=beta&t=IqZn9ZveJTctL5aMq9z6mUW5s4iB8lH94vzo6dDbG4w,1,['anger: VERY_UNLIKELY', 'joy: LIKELY', 'surprise: VERY_UNLIKELY', 'Sorrow: VERY_UNLIKELY'], ,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
